price_per_unit,sale,voila,loblaws,metro,brown,white,goldegg,bluemenu,compliments,conestoga,longos,grayridge,presidents,large,medium,extra,none,organic,freerange,freerun,nosale,month
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
0.47,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
